Liga;Staffel_Nr;Vereinsname
Kreisklasse;KK-Neu-08;FSV Harburg-Rönneburg 2.
Kreisklasse;KK-Neu-08;Buchholz 3.
Kreisklasse;KK-Neu-08;Bostelbek 2.
Kreisklasse;KK-Neu-08;Harburger Türk-Sport 2.
Kreisklasse;KK-Neu-08;Viktoria Harburg 2.
Kreisklasse;KK-Neu-09;FC Türkiye 2.
Kreisklasse;KK-Neu-09;Vorwärts Ost 1.
Kreisklasse;KK-Neu-09;Sternschanze 5.
Kreisklasse;KK-Neu-09;MSV Hamburg 4.
Kreisklasse;KK-Neu-09;RW Wilhelmsburg 3.
Kreisklasse;KK-Neu-09;Teutonia 10 2.
Kreisklasse;KK-Neu-09;Einigkeit 1.
Kreisklasse;KK-Neu-09;ETSV Hamburg 2.
Kreisklasse;KK-Neu-09;FC Hamburger Berg 1.
Kreisklasse;KK-Neu-09;HafenCity 2.
Kreisklasse;KK-Neu-09;Lorbeer 1.
Kreisklasse;KK-Neu-09;Polonia 2.
Kreisklasse;KK-Neu-09;Billstedt-Horn 4.
Kreisklasse;KK-Neu-09;Aumühle 4.
Kreisklasse;KK-Neu-10;FC Lauenburg 1.
Kreisklasse;KK-Neu-10;SVNA 2.
Kreisklasse;KK-Neu-10;ASV Bergedorf 85 2.
Kreisklasse;KK-Neu-10;Aumühle 2.
Kreisklasse;KK-Neu-10;Schwarzenbek 3.
Kreisklasse;KK-Neu-10;Börnsen 3.
Kreisklasse;KK-Neu-10;Grünhof-Tesperhude 1.
Kreisklasse;KK-Neu-10;Düneberg 2.
Kreisklasse;KK-Neu-10;Escheburg 3.
Kreisklasse;KK-Neu-10;Reinbek 2.
Kreisklasse;KK-Neu-10;SC V. M. 3.
Kreisklasse;KK-Neu-10;Altengamme 3.
Kreisklasse;KK-Neu-10;TSG Bergedorf 1.
Kreisklasse;KK-Neu-10;FSV Geesthacht 2.
Kreisklasse;KK-Neu-11;Lieth 3.
Kreisklasse;KK-Neu-11;Rantzau 3.
Kreisklasse;KK-Neu-11;Gencler Birligi 1.
Kreisklasse;KK-Neu-11;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG
Kreisklasse;KK-Neu-11;Holsatia im EMTV 1.
Kreisklasse;KK-Neu-11;FC Elmshorn 2.
Kreisklasse;KK-Neu-11;Hörnerkirchen 2.
Kreisklasse;KK-Neu-11;Haseldorf 2.
Kreisklasse;KK-Neu-11;Sparrieshoop 2.
Kreisklasse;KK-Neu-11;Heidgraben 3.
Kreisklasse;KK-Neu-11;TBS Pinneberg 2.
Kreisklasse;KK-Neu-11;Wedel 2.
Kreisklasse;KK-Neu-11;Seestermühe 1.
Kreisklasse;KK-Neu-11;Heist 2.
Kreisliga;KL-Neu-01;Viktoria Harburg 1.
Kreisliga;KL-Neu-01;Kosova 2.
Kreisliga;KL-Neu-01;Süderelbe 3.
Kreisliga;KL-Neu-01;Harburger SC 2.
Kreisliga;KL-Neu-01;Hellas United 1.
Kreisliga;KL-Neu-01;Buxtehude 1.
Kreisliga;KL-Neu-01;Nienstedten 2.
Kreisliga;KL-Neu-01;RW Wilhelmsburg 1.
Kreisliga;KL-Neu-01;FC Veddel United 1.
Kreisliga;KL-Neu-01;SV Wilhelmsburg 1.
Kreisliga;KL-Neu-01;Este 06/​70 1.
Kreisliga;KL-Neu-01;Harburger TB 2.
Kreisliga;KL-Neu-01;FSV Harburg-Rönneburg 1.
Kreisliga;KL-Neu-01;Bostelbek 1.
Kreisliga;KL-Neu-01;Altenwerder 1.
Kreisliga;KL-Neu-02;Holm 1.
Kreisliga;KL-Neu-02;Moorrege 1.
Kreisliga;KL-Neu-02;Sparrieshoop 1.
Kreisliga;KL-Neu-02;Heidgraben 2.
Kreisliga;KL-Neu-02;Lieth 2.
Kreisliga;KL-Neu-02;Heist 1.
Kreisliga;KL-Neu-02;Hörnerkirchen 1.
Kreisliga;KL-Neu-02;Appen 1.
Kreisliga;KL-Neu-02;Egenbüttel 3.
Kreisliga;KL-Neu-02;Rissen 1.
Kreisliga;KL-Neu-02;Wedel 1.
Kreisliga;KL-Neu-02;Roland Wedel 1.
Kreisliga;KL-Neu-02;Rantzau 2.
Kreisliga;KL-Neu-02;Cosmos Wedel 1.
Kreisliga;KL-Neu-02;Union Tornesch 4.
Kreisliga;KL-Neu-03;Wellingsbüttel 2.
Kreisliga;KL-Neu-03;Hoisbüttel 1.
Kreisliga;KL-Neu-03;Glashütte 1.
Kreisliga;KL-Neu-03;Bramfeld 3.
Kreisliga;KL-Neu-03;Sasel 3.
Kreisliga;KL-Neu-03;Lemsahl 1.
Kreisliga;KL-Neu-03;Meiendorf 2.
Kreisliga;KL-Neu-03;BU 3.
Kreisliga;KL-Neu-03;Walddörfer 2.
Kreisliga;KL-Neu-03;Rahlstedt 3.
Kreisliga;KL-Neu-03;Ahrensburg 2.
Kreisliga;KL-Neu-03;Stapelfeld 1.
Kreisliga;KL-Neu-03;Bergstedt 1.
Kreisliga;KL-Neu-03;Wandsetal 2.
Kreisliga;KL-Neu-03;Condor 3.
Kreisliga;KL-Neu-04;Rahlstedt 2.
Kreisliga;KL-Neu-04;Hamm United 2.
Kreisliga;KL-Neu-04;Urania 1.
Kreisliga;KL-Neu-04;BU 4.
Kreisliga;KL-Neu-04;Paloma 3.
Kreisliga;KL-Neu-04;Billstedt-Horn 2.
Kreisliga;KL-Neu-04;Polonia 1.
Kreisliga;KL-Neu-04;Willinghusen 1.
Kreisliga;KL-Neu-04;Barsbüttel 2.
Kreisliga;KL-Neu-04;Hamburg Hurricanes 1.
Kreisliga;KL-Neu-04;Wandsetal 1.
Kreisliga;KL-Neu-04;ASV Hamburg 2.
Kreisliga;KL-Neu-04;TuS Hamburg 1.
Kreisliga;KL-Neu-04;Bramfeld 2.
Kreisliga;KL-Neu-04;Eilbek 3.
Kreisliga;KL-Neu-05;Eimsbüttel 3.
Kreisliga;KL-Neu-05;Altenwerder 2.
Kreisliga;KL-Neu-05;HEBC 3.
Kreisliga;KL-Neu-05;Sternschanze 3.
Kreisliga;KL-Neu-05;Blankenese 2.
Kreisliga;KL-Neu-05;Altona 93 3.
Kreisliga;KL-Neu-05;Victoria 3.
Kreisliga;KL-Neu-05;Nikola Tesla 2.
Kreisliga;KL-Neu-05;Groß Flottbek 1.
Kreisliga;KL-Neu-05;Teutonia 05 3.
Kreisliga;KL-Neu-05;BSV 19 1.
Kreisliga;KL-Neu-05;Alsterbrüder 3.
Kreisliga;KL-Neu-05;Blau-Weiss Ellas 1.
Kreisliga;KL-Neu-05;Hammonia 3.
Kreisliga;KL-Neu-05;Hansa 11 2.
Kreisliga;KL-Neu-06;West-Eimsbüttel 1.
Kreisliga;KL-Neu-06;Niendorf 4.
Kreisliga;KL-Neu-06;Ellerau 1.
Kreisliga;KL-Neu-06;Borstel 1.
Kreisliga;KL-Neu-06;Tangstedt 1.
Kreisliga;KL-Neu-06;Germania 2.
Kreisliga;KL-Neu-06;1. FC Quickborn 1.
Kreisliga;KL-Neu-06;Rugenbergen 2.
Kreisliga;KL-Neu-06;Lohkamp 1.
Kreisliga;KL-Neu-06;Harksheide 3.
Kreisliga;KL-Neu-06;SV Eidelstedt 1.
Kreisliga;KL-Neu-06;Egenbüttel 2.
Kreisliga;KL-Neu-06;Hasloh 1.
Kreisliga;KL-Neu-06;Lurup 1.
Kreisliga;KL-Neu-06;Union Tornesch 3.
Kreisliga;KL-Neu-07;Altengamme 2.
Kreisliga;KL-Neu-07;Lauenburg 1.
Kreisliga;KL-Neu-07;Schwarzenbek 2.
Kreisliga;KL-Neu-07;Börnsen 2.
Kreisliga;KL-Neu-07;Reinbek 1.
Kreisliga;KL-Neu-07;SC V. M. 2.
Kreisliga;KL-Neu-07;Escheburg 2.
Kreisliga;KL-Neu-07;Voran Ohe 2.
Kreisliga;KL-Neu-07;Dassendorf 2.
Kreisliga;KL-Neu-07;SC Wentorf 2.
Kreisliga;KL-Neu-07;Billstedt-Horn 1.
Kreisliga;KL-Neu-07;FSV Geesthacht 1.
Kreisliga;KL-Neu-07;Curslack-Neuengamme 2.
Kreisliga;KL-Neu-07;Lohbrügge 2.
Kreisliga;KL-Neu-07;ASV Bergedorf 85 1.
Kreisliga;KL-Neu-08;Hansa 11 1.
Kreisliga;KL-Neu-08;GW Eimsbüttel 2.
Kreisliga;KL-Neu-08;FC Winterhude 1.
Kreisliga;KL-Neu-08;St. Pauli VII
Kreisliga;KL-Neu-08;St. Pauli VI
Kreisliga;KL-Neu-08;Alsterbrüder 2.
Kreisliga;KL-Neu-08;UH-Adler 2.
Kreisliga;KL-Neu-08;St. Pauli V
Kreisliga;KL-Neu-08;Eimsbüttel 4.
Kreisliga;KL-Neu-08;Victoria 4.
Kreisliga;KL-Neu-08;Sperber 2.
Kreisliga;KL-Neu-08;St. Pauli IV
Kreisliga;KL-Neu-08;Hammonia 2.
Kreisliga;KL-Neu-08;Sternschanze 2.
Kreisliga;KL-Neu-08;HafenCity 1.
