Liga;Staffel_Nr;Vereinsname
Kreisklasse;KK-Neu-08;HSV V
Kreisklasse;KK-Neu-08;FC Gregs 1.
Kreisklasse;KK-Neu-08;Hummelsbüttel 1.
Kreisklasse;KK-Neu-08;tus BERNE 3.
Kreisklasse;KK-Neu-08;Bergstedt 2.
Kreisklasse;KK-Neu-09;Concordia 3.
Kreisklasse;KK-Neu-09;Barsbüttel 3.
Kreisklasse;KK-Neu-09;DUWO 08 1.
Kreisklasse;KK-Neu-09;SC FU 1.
Kreisklasse;KK-Neu-09;Nordlichter im NSV 2.
Kreisklasse;KK-Neu-09;Stapelfeld 2.
Kreisklasse;KK-Neu-09;Aumühle 2.
Kreisklasse;KK-Neu-09;Bramfeld 5.
Kreisklasse;KK-Neu-09;tus BERNE 2.
Kreisklasse;KK-Neu-09;Tonndorf-Lohe 1.
Kreisklasse;KK-Neu-09;Billstedt-Horn 4.
Kreisklasse;KK-Neu-09;Polonia 2.
Kreisklasse;KK-Neu-09;Farmsen 2.
Kreisklasse;KK-Neu-09;Condor 4.
Kreisklasse;KK-Neu-10;FSV Harburg-Rönneburg 2.
Kreisklasse;KK-Neu-10;FFC 08 2.
Kreisklasse;KK-Neu-10;Buchholz 3.
Kreisklasse;KK-Neu-10;Dersimspor 2.
Kreisklasse;KK-Neu-10;Harburger Türk-Sport 2.
Kreisklasse;KK-Neu-10;Einigkeit 1.
Kreisklasse;KK-Neu-10;Viktoria Harburg 2.
Kreisklasse;KK-Neu-10;RW Wilhelmsburg 2.
Kreisklasse;KK-Neu-10;GW Harburg 1.
Kreisklasse;KK-Neu-10;Bostelbek 2.
Kreisklasse;KK-Neu-10;Buxtehude 2.
Kreisklasse;KK-Neu-10;Harburger TB 3.
Kreisklasse;KK-Neu-10;Mesopotamien 2.
Kreisklasse;KK-Neu-10;Finkenwerder 2.
Kreisklasse;KK-Neu-11;Lieth 3.
Kreisklasse;KK-Neu-11;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG
Kreisklasse;KK-Neu-11;Hörnerkirchen 2.
Kreisklasse;KK-Neu-11;Heidgraben 3.
Kreisklasse;KK-Neu-11;Haseldorf 2.
Kreisklasse;KK-Neu-11;FC Elmshorn 2.
Kreisklasse;KK-Neu-11;Seestermühe 1.
Kreisklasse;KK-Neu-11;Heist 2.
Kreisklasse;KK-Neu-11;Sparrieshoop 2.
Kreisklasse;KK-Neu-11;TBS Pinneberg 2.
Kreisklasse;KK-Neu-11;Gencler Birligi 1.
Kreisklasse;KK-Neu-11;Rantzau 3.
Kreisklasse;KK-Neu-11;Holsatia im EMTV 1.
Kreisklasse;KK-Neu-11;VfL Pinneberg 2.
Kreisliga;KL-Neu-01;St. Pauli VI
Kreisliga;KL-Neu-01;Polonia 1.
Kreisliga;KL-Neu-01;Hansa 11 2.
Kreisliga;KL-Neu-01;St. Pauli VII
Kreisliga;KL-Neu-01;Eimsbüttel 4.
Kreisliga;KL-Neu-01;Hammonia 2.
Kreisliga;KL-Neu-01;St. Pauli IV
Kreisliga;KL-Neu-01;HafenCity 1.
Kreisliga;KL-Neu-01;Sternschanze 3.
Kreisliga;KL-Neu-01;St. Pauli V
Kreisliga;KL-Neu-01;Victoria 3.
Kreisliga;KL-Neu-01;GW Eimsbüttel 2.
Kreisliga;KL-Neu-01;Alsterbrüder 3.
Kreisliga;KL-Neu-01;HEBC 3.
Kreisliga;KL-Neu-01;UH-Adler 2.
Kreisliga;KL-Neu-02;Este 06/​70 1.
Kreisliga;KL-Neu-02;FC Veddel United 1.
Kreisliga;KL-Neu-02;Buxtehude 1.
Kreisliga;KL-Neu-02;FSV Harburg-Rönneburg 1.
Kreisliga;KL-Neu-02;Süderelbe 3.
Kreisliga;KL-Neu-02;RW Wilhelmsburg 1.
Kreisliga;KL-Neu-02;Hansa 11 1.
Kreisliga;KL-Neu-02;SV Wilhelmsburg 1.
Kreisliga;KL-Neu-02;Viktoria Harburg 1.
Kreisliga;KL-Neu-02;Harburger SC 2.
Kreisliga;KL-Neu-02;Harburger TB 2.
Kreisliga;KL-Neu-02;Kosova 2.
Kreisliga;KL-Neu-02;Bostelbek 1.
Kreisliga;KL-Neu-02;Hellas United 1.
Kreisliga;KL-Neu-02;Altenwerder 1.
Kreisliga;KL-Neu-03;Rissen 1.
Kreisliga;KL-Neu-03;Nikola Tesla 2.
Kreisliga;KL-Neu-03;Alsterbrüder 2.
Kreisliga;KL-Neu-03;Blankenese 2.
Kreisliga;KL-Neu-03;Altona 93 3.
Kreisliga;KL-Neu-03;BSV 19 1.
Kreisliga;KL-Neu-03;Eimsbüttel 3.
Kreisliga;KL-Neu-03;Hammonia 3.
Kreisliga;KL-Neu-03;Sternschanze 2.
Kreisliga;KL-Neu-03;Groß Flottbek 1.
Kreisliga;KL-Neu-03;Teutonia 05 3.
Kreisliga;KL-Neu-03;Blau-Weiss Ellas 1.
Kreisliga;KL-Neu-03;Egenbüttel 3.
Kreisliga;KL-Neu-03;Nienstedten 2.
Kreisliga;KL-Neu-03;Altenwerder 2.
Kreisliga;KL-Neu-04;BU 3.
Kreisliga;KL-Neu-04;Billstedt-Horn 2.
Kreisliga;KL-Neu-04;Wandsetal 1.
Kreisliga;KL-Neu-04;Sperber 2.
Kreisliga;KL-Neu-04;Hamm United 2.
Kreisliga;KL-Neu-04;Barsbüttel 2.
Kreisliga;KL-Neu-04;TuS Hamburg 1.
Kreisliga;KL-Neu-04;ASV Hamburg 2.
Kreisliga;KL-Neu-04;Hamburg Hurricanes 1.
Kreisliga;KL-Neu-04;Bramfeld 3.
Kreisliga;KL-Neu-04;Urania 1.
Kreisliga;KL-Neu-04;Rahlstedt 2.
Kreisliga;KL-Neu-04;FC Winterhude 1.
Kreisliga;KL-Neu-04;Eilbek 3.
Kreisliga;KL-Neu-04;Paloma 3.
Kreisliga;KL-Neu-05;Hörnerkirchen 1.
Kreisliga;KL-Neu-05;Union Tornesch 4.
Kreisliga;KL-Neu-05;Moorrege 1.
Kreisliga;KL-Neu-05;Heidgraben 2.
Kreisliga;KL-Neu-05;Rantzau 2.
Kreisliga;KL-Neu-05;Roland Wedel 1.
Kreisliga;KL-Neu-05;Wedel 1.
Kreisliga;KL-Neu-05;Ellerau 1.
Kreisliga;KL-Neu-05;Cosmos Wedel 1.
Kreisliga;KL-Neu-05;Appen 1.
Kreisliga;KL-Neu-05;Heist 1.
Kreisliga;KL-Neu-05;Sparrieshoop 1.
Kreisliga;KL-Neu-05;Holm 1.
Kreisliga;KL-Neu-05;Lieth 2.
Kreisliga;KL-Neu-05;Borstel 1.
Kreisliga;KL-Neu-06;Rugenbergen 2.
Kreisliga;KL-Neu-06;1. FC Quickborn 1.
Kreisliga;KL-Neu-06;Union Tornesch 3.
Kreisliga;KL-Neu-06;Egenbüttel 2.
Kreisliga;KL-Neu-06;Hasloh 1.
Kreisliga;KL-Neu-06;Harksheide 3.
Kreisliga;KL-Neu-06;West-Eimsbüttel 1.
Kreisliga;KL-Neu-06;Lurup 1.
Kreisliga;KL-Neu-06;Glashütte 1.
Kreisliga;KL-Neu-06;SV Eidelstedt 1.
Kreisliga;KL-Neu-06;Germania 2.
Kreisliga;KL-Neu-06;Niendorf 4.
Kreisliga;KL-Neu-06;Tangstedt 1.
Kreisliga;KL-Neu-06;Victoria 4.
Kreisliga;KL-Neu-06;Lohkamp 1.
Kreisliga;KL-Neu-07;Bergstedt 1.
Kreisliga;KL-Neu-07;Stapelfeld 1.
Kreisliga;KL-Neu-07;Condor 3.
Kreisliga;KL-Neu-07;Ahrensburg 2.
Kreisliga;KL-Neu-07;Wandsetal 2.
Kreisliga;KL-Neu-07;Rahlstedt 3.
Kreisliga;KL-Neu-07;Bramfeld 2.
Kreisliga;KL-Neu-07;Lemsahl 1.
Kreisliga;KL-Neu-07;Wellingsbüttel 2.
Kreisliga;KL-Neu-07;Meiendorf 2.
Kreisliga;KL-Neu-07;Sasel 3.
Kreisliga;KL-Neu-07;Billstedt-Horn 1.
Kreisliga;KL-Neu-07;Walddörfer 2.
Kreisliga;KL-Neu-07;BU 4.
Kreisliga;KL-Neu-07;Hoisbüttel 1.
Kreisliga;KL-Neu-08;Lauenburg 1.
Kreisliga;KL-Neu-08;Escheburg 2.
Kreisliga;KL-Neu-08;Reinbek 1.
Kreisliga;KL-Neu-08;Lohbrügge 2.
Kreisliga;KL-Neu-08;Schwarzenbek 2.
Kreisliga;KL-Neu-08;Dassendorf 2.
Kreisliga;KL-Neu-08;Voran Ohe 2.
Kreisliga;KL-Neu-08;SC V. M. 2.
Kreisliga;KL-Neu-08;Curslack-Neuengamme 2.
Kreisliga;KL-Neu-08;Altengamme 2.
Kreisliga;KL-Neu-08;FSV Geesthacht 1.
Kreisliga;KL-Neu-08;Börnsen 2.
Kreisliga;KL-Neu-08;SC Wentorf 2.
Kreisliga;KL-Neu-08;Willinghusen 1.
Kreisliga;KL-Neu-08;ASV Bergedorf 85 1.
